evidence_item,source_field,information_family,observed_reporting_completeness,availability_status,evidence_class,boundary
Use Case Identifier,Use Case Identifier,identity and ownership,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Use Case Name,Use Case Name,identity and ownership,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Agency,Agency,identity and ownership,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Bureau,Bureau,identity and ownership,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Public Reporting Indicator,Public Reporting Indicator,code and transparency,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Development Stage,Development Stage,lifecycle and operations,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
High Impact Indicator,High Impact Indicator,assurance and recourse,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
High Impact Justification,High Impact Justification,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Use Case Topic Area,Use Case Topic Area,purpose and outputs,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
AI Classification,AI Classification,purpose and outputs,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Problem Description,Problem Description,purpose and outputs,1.0,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Benefit Description,Benefit Description,purpose and outputs,0.057143,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Output Description,Output Description,purpose and outputs,0.871429,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Operation Date,Operation Date,lifecycle and operations,0.657143,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Contractor Indicator,Contractor Indicator,lifecycle and operations,0.6,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Vendor Name,Vendor Name,code and transparency,0.042857,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
ATO Indicator,ATO Indicator,lifecycle and operations,0.942857,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
System Name,System Name,code and transparency,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Training Data Description,Training Data Description,data and privacy,0.442857,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Enterprise Data Inventory URL,Enterprise Data Inventory URL,data and privacy,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
PII Indicator,PII Indicator,data and privacy,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
PIA URL,PIA URL,data and privacy,0.942857,partially populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Demographic Variable Description,Demographic Variable Description,data and privacy,0.957143,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Custom Code Indicator,Custom Code Indicator,code and transparency,0.957143,fully populated,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Open Source Code URL,Open Source Code URL,code and transparency,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Predeployment Testing Indicator,Predeployment Testing Indicator,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
AI Impact Assessment Indicator,AI Impact Assessment Indicator,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Potential Impact Description,Potential Impact Description,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Independent Review Indicator,Independent Review Indicator,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Ongoing Monitoring Indicator,Ongoing Monitoring Indicator,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Operator Training Indicator,Operator Training Indicator,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
Fail Safe Indicator,Fail Safe Indicator,assurance and recourse,0.0,unavailable in snapshot,public self-reported inventory field,Completeness measures external observability only; blank or missing-coded reporting is not proof that a control is absent or ineffective.
